Career Path,Skills,Interests,Domain,Job Roles,Courses
Data Analyst,"Python, SQL, Excel, Power BI, Statistics","data analysis, business insights, dashboards","Analytics","Junior Data Analyst, BI Analyst, Reporting Analyst","Excel for Data Analysis, SQL Bootcamp, Power BI, Python for Data Analysis"
Data Scientist,"Python, Machine Learning, Statistics, Pandas, NumPy","ai, data science, prediction, analytics","Technology","Data Scientist, ML Analyst, AI Associate","Machine Learning, Python, Statistics, Deep Learning Basics"
Business Analyst,"Excel, SQL, Communication, Requirement Gathering, Power BI","business, problem solving, reporting, client needs","Business","Business Analyst, Functional Analyst, Process Analyst","Business Analysis Fundamentals, Excel, SQL, Power BI"
Frontend Developer,"HTML, CSS, JavaScript, React, UI Design","web design, user interfaces, websites","Technology","Frontend Developer, Web Designer, UI Developer","HTML & CSS, JavaScript, React JS, Responsive Design"
Backend Developer,"Python, Java, SQL, APIs, Database Management","server-side logic, coding, system design","Technology","Backend Developer, API Developer, Software Engineer","Python Backend, Java Programming, REST APIs, SQL"
Full Stack Developer,"HTML, CSS, JavaScript, React, Python, SQL","web development, end-to-end apps, coding","Technology","Full Stack Developer, Web Application Developer","Frontend + Backend Development, React, Python, SQL"
UI/UX Designer,"Figma, Wireframing, Prototyping, User Research, Design Thinking","design, creativity, user experience","Design","UI Designer, UX Designer, Product Designer","UI/UX Design, Figma, Design Thinking, User Research"
Digital Marketer,"SEO, Content Writing, Social Media, Analytics, SEM","marketing, branding, online campaigns","Marketing","Digital Marketing Executive, SEO Analyst, Content Strategist","SEO, Google Analytics, Content Marketing, Social Media Marketing"
Financial Analyst,"Excel, Financial Modeling, Accounting, SQL, Data Analysis","finance, reporting, investments, numbers","Finance","Financial Analyst, Investment Analyst, Budget Analyst","Financial Analysis, Excel, Accounting Basics, Business Finance"
HR Analyst,"Excel, Communication, HR Metrics, Data Handling, Recruitment","people, recruitment, hr analytics, management","Business","HR Analyst, Talent Acquisition Analyst, HR Executive","HR Analytics, Excel, Recruitment Fundamentals"
Cloud Engineer,"AWS, Linux, Networking, Python, DevOps","cloud, infrastructure, deployment, automation","Technology","Cloud Engineer, DevOps Engineer, Infrastructure Engineer","AWS Cloud Practitioner, Linux, DevOps Basics, Python Automation"
Cybersecurity Analyst,"Networking, Python, Security Tools, Risk Analysis, Linux","security, ethical hacking, cyber defense","Technology","Cybersecurity Analyst, SOC Analyst, Security Associate","Cybersecurity Basics, Network Security, Ethical Hacking"
Machine Learning Engineer,"Python, Machine Learning, TensorFlow, SQL, Data Processing","ai, ml models, automation, prediction","Technology","ML Engineer, AI Engineer, Applied ML Associate","Machine Learning, TensorFlow, Model Deployment, Python"
Product Manager,"Communication, Market Research, Strategy, Analytics, Leadership","products, strategy, market analysis, business growth","Business","Associate Product Manager, Product Analyst","Product Management, Market Research, Business Strategy"
Software Tester,"Manual Testing, Automation Testing, Selenium, SQL, Bug Tracking","quality assurance, software testing, debugging","Technology","QA Analyst, Test Engineer, Automation Tester","Software Testing, Selenium, Manual Testing, SQL"
ERP Consultant,"Communication, SQL, Business Process, Documentation, Problem Solving","erp, business systems, client support, implementation","Business","ERP Consultant, Functional Consultant, Support Consultant","ERP Basics, SQL, Business Process Management"
Customer Support Analyst,"Communication, CRM, Problem Solving, Documentation, Email Writing","customer service, support, operations","Business","Support Analyst, Customer Success Associate, CRM Executive","CRM Fundamentals, Customer Support, Business Communication"
AI Prompt Engineer,"Prompt Writing, NLP Basics, Creativity, Research, AI Tools","ai tools, chatbots, automation, language models","Technology","Prompt Engineer, AI Content Specialist, AI Operations Associate","Prompt Engineering, NLP Basics, Generative AI Fundamentals"
Operations Analyst,"Excel, Reporting, Process Improvement, SQL, Communication","operations, process optimization, business support","Business","Operations Analyst, Process Analyst, MIS Analyst","Excel, SQL, Operations Management"
DevOps Engineer,"Linux, AWS, Docker, CI/CD, Python","automation, deployment, cloud infrastructure","Technology","DevOps Engineer, Site Reliability Engineer","Docker, AWS, CI/CD, Linux, Python"
